,year,oil_index,mineral_index,country,oil_prod,oil_ex,oil_im,oil_reim,oil_reex,mineral_ex,mineral_im,mineral_reim,mineral_reex,Administrative fees for government services,Bonuses,Compulsory transfers to government (infrastructure and other),Customs and other import duties,Delivered/paid directly to government,Delivered/paid to state-owned enterprise(s),Dividends,Emission and pollution taxes,Excise taxes,"Extraordinary taxes on income, profits and capital gains","Fines, penalties, and forfeits",From government participation (equity),From state-owned enterprises,"General taxes on goods and services (VAT, sales tax, turnover tax)",Licence fees,Motor vehicle taxes,"Ordinary taxes on income, profits and capital gains",Other rent payments,Other taxes payable by natural resource companies,Profits of natural resource export monopolies,Rent,Revenues not classified,Royalties,Sales of goods and services by government units,Social security employer contributions,Taxes on exports,Taxes on payroll and workforce,Taxes on property,Voluntary transfers to government (donations),Withdrawals from income of quasi-corporations,total_revenue,oil_prod_USD,ratio_rev_oilprod
1,2009,61.74,136.5303027,Albania,5.328767123,83219127,31438446,0,0,65044599,329099,0,0,0,211074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874235,129954,0,0,0,0,9168449,0,0,0,0,0,0,0,10383712,120084300,0.086470188
2,2010,79.61,202.3197645,Albania,10.84383562,162736020,13047443,0,0,107608540,1449435,0,0,0,429194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520646,217298,2681308,0,0,0,30452899,0,0,0,0,0,0,0,38301345,315096380.1,0.12155438
3,2011,111.26,229.7191412,Albania,15.51506849,314104512,20463530,0,0,109400486,2649275,0,0,0,1119702,0,0,0,34823823,0,0,0,0,0,0,0,0,0,0,10502104,0,0,0,0,0,44739160,0,0,0,0,0,0,0,91184789,630065379.9,0.144722741
4,2012,111.63,191.0341399,Albania,16.83606557,492931584,217319,0,0,104437302,10504,0,0,0,3968898,0,0,0,50973210,0,0,0,0,2080022,0,0,0,0,0,5083769,0,0,0,0,0,53390575,0,0,0,0,0,0,0,115496474,685984649.8,0.168365974
5,2013,108.56,182.901893,Albania,17.00821918,658043194,0,0,0,142657352,2082451,0,0,206414,569082,0,0,492176,33393951,0,0,0,541930,4555071,0,940982,30358846,0,0,18124768,0,23367582,0,0,0,77805998,0,0,0,0,0,0,146060549,336417349,673940480.1,0.499179614
6,2014,98.97,164.3753612,Albania,20.50684932,0,0,0,0,117073710,5106364,0,0,682152,331408,0,0,629602,37360303,0,0,0,1041526,592730,0,7664161,19569848,0,0,16832464,0,41032689,0,0,0,73245355,0,0,0,0,0,0,0,198982238,740790450.2,0.268607996
7,2015,52.32,126.5737353,Albania,20.16164384,91792249,0,0,0,93832342,710412,0,0,33446,614942,0,0,795794,12826600,0,0,0,961656,248467,0,0,17091316,0,0,17472273,0,19989999,0,0,0,38298084,0,27276955,0,0,0,0,0,135609532,385022880.1,0.352211619
8,2003,28.85,60.70570998,Azerbaijan,323.7547945,1816098560,1444,0,0,14399,28599812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186276712.8,0,0,0,0,12900000,0,0,0,0,0,0,199176712.8,3409218925,0.058422975
9,2004,38.26,81.70468166,Azerbaijan,315.4262295,2264435010,0,0,0,48714,54933514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67923742.38,0,166969870.8,0,0,0,399197013.9,12200000,0,0,0,0,0,0,646290627.1,4404895752,0.146720981
10,2005,54.57,100,Azerbaijan,438.7726027,2218812045,127,0,0,500,69609781,0,0,0,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9919362.617,0,84663557.69,0,0,0,0,16500000,0,0,0,0,0,0,112082920.3,8739494639,0.012824874
11,2006,65.16,156.1961728,Azerbaijan,645.5205479,3848498475,0,0,0,3100,76309381,0,0,0,2.00E+06,0,0,20200000,0,0,0,0,12500000,0,0,0,0,0,0,1133022732,0,275027995.5,0,0,0,198185666.3,14200000,0,0,0,0,0,0,1655136394,15352673399,0.107807699
